Marca,Modelo,Precio,Provincia,Año,Kilometraje,Transmisión,Dirección,Motor,Tracción,Color,Combustible,Enlace
CHEVROLET,AVEO EMOTION,8900.0,PICHINCHA,2009,167000,MANUAL,HIDRAULICA,1600,4x2,PLOMO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1882431
NISSAN,X-TRAIL XTREME,15900.0,PICHINCHA,2013,87000,TIPTRONIC,HIDRAULICA,2500,4x2,PLOMO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1882248
FORD,FOCUS,12800.0,PICHINCHA,2015,64000,AUTOMATICA,HIDRAULICA,2000,4x2,BLANCO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1882222
MAZDA,2,15900.0,PICHINCHA,2021,59000,MANUAL,ELECTRONICA,1500,4x2,PLOMO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1882013
VOLKSWAGEN,VIRTUS,16900.0,PICHINCHA,2022,50000,MANUAL,ELECTRONICA,1600,4x2,PLOMO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1881984
VOLKSWAGEN,POLO TRENDLINE,15900.0,PICHINCHA,2021,40000,MANUAL,ELECTRONICA,1600,4x2,PLOMO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1881980
HYUNDAI,SANTA FE,8400.0,PICHINCHA,2005,171000,TIPTRONIC,HIDRAULICA,2400,4x2,BLANCO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1881802
SUZUKI,GRAND VITARA SZ,14400.0,CHIMBORAZO,2017,111000,AUTOMATICA,HIDRAULICA,2400,4x2,BLANCO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1881603
CHERY,TIGGO 7 PRO LUXURY,21900.0,PICHINCHA,2024,14000,TIPTRONIC,ELECTRONICA,1500,4x2,PLOMO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1875832
VOLKSWAGEN,AMAROK,13900.0,PICHINCHA,2012,288000,MANUAL,HIDRAULICA,2000,4x2,PLOMO,DIESEL,https://www.autoconfianza.com.ec/vehiculo/1881392
TOYOTA,NEW FORTUNER,38900.0,PICHINCHA,2020,68000,TIPTRONIC,ELECTRONICA,2700,4x4,BLANCO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1881153
TOYOTA,FORTUNER,46900.0,PICHINCHA,2023,34000,TIPTRONIC,ELECTRONICA,2700,4x4,PLOMO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1880945
HYUNDAI,SONATA,25900.0,PICHINCHA,2023,17000,TIPTRONIC,ELECTRONICA,2000,4x2,PLOMO,HIBRIDO,https://www.autoconfianza.com.ec/vehiculo/1880943
FIAT,ARGO TREKKING,15900.0,PICHINCHA,2023,40000,MANUAL,ELECTRONICA,1300,4x2,NEGRO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1880941
MAZDA,CX- 5 CORE,31400.0,PICHINCHA,2023,13000,MANUAL,ELECTRONICA,2000,4x2,AZUL,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1850194
HYUNDAI,CRETA,21900.0,PICHINCHA,2022,46000,MANUAL,ELECTRONICA,1500,4x2,BLANCO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1879680
NISSAN,VERSA,16900.0,PICHINCHA,2020,51000,AUTOMATICA,ELECTRONICA,1600,4x2,BLANCO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1879164
RENAULT,DUSTER,16400.0,CHIMBORAZO,2022,75000,MANUAL,ELECTRONICA,1600,4x2,NEGRO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1879163
CHEVROLET,SPARK GT,10900.0,AZUAY,2019,73000,MANUAL,ELECTRONICA,1200,4x2,BLANCO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1879085
KIA,STONIC LX,15400.0,MANABI,2023,17000,MANUAL,ELECTRONICA,1000,4x2,AZUL,HIBRIDO,https://www.autoconfianza.com.ec/vehiculo/1878150
MAZDA,CX-3 FULL,23900.0,PICHINCHA,2020,27000,TIPTRONIC,ELECTRONICA,2000,4x2,ROJO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1878924
TOYOTA,RUSH,24900.0,PICHINCHA,2023,11000,AUTOMATICA,ELECTRONICA,1500,4x2,ROJO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1878868
TOYOTA,RUSH,19400.0,PICHINCHA,2020,65000,AUTOMATICA,ELECTRONICA,1500,4x2,BLANCO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1878565
FORD,F150 XLT,33400.0,COTOPAXI,2017,66000,AUTOMATICA,HIDRAULICA,3500,4x2,VINO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1876875
NISSAN,X-TRAIL EPOWER ADVANCE E-4ORCE EV,40400.0,PICHINCHA,2024,31000,AUTOMATICA,ELECTRONICA,1500,4x4,NEGRO,ELECTRICO,https://www.autoconfianza.com.ec/vehiculo/1876060
TOYOTA,NEW FORTUNER,38400.0,PICHINCHA,2019,51000,MANUAL,ELECTRONICA,2700,4x4,PLOMO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1875985
DONGFENG,RICH P11 TX,12900.0,PICHINCHA,2022,32000,MANUAL,ELECTRONICA,2400,4x2,PLOMO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1875618
FORD,F150 XLT,46900.0,PICHINCHA,2020,43000,AUTOMATICA,ELECTRONICA,3300,4x4,PLOMO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1873510
CHEVROLET,MONTANA PREMIER,20900.0,PICHINCHA,2024,22000,MANUAL,ELECTRONICA,1200,4x2,NEGRO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1872578
HYUNDAI,KONA,22900.0,PICHINCHA,2022,29000,TIPTRONIC,ELECTRONICA,1600,4x2,BLANCO,HIBRIDO,https://www.autoconfianza.com.ec/vehiculo/1868577
TOYOTA,NEW FORTUNER,46900.0,PICHINCHA,2022,21000,MANUAL,HIDRAULICA,2700,4x4,PLOMO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1867544
MAZDA,CX-3 FULL,20900.0,PICHINCHA,2019,45000,TIPTRONIC,ELECTRONICA,2000,4x2,ROJO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1860044
RENAULT,KWID,12900.0,PICHINCHA,2023,21000,MANUAL,ELECTRONICA,1000,4x2,ROJO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1858796
MAZDA,CX-3 ENTRY,22900.0,PICHINCHA,2023,18000,MANUAL,ELECTRONICA,2000,4x2,AZUL,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1855524
VOLKSWAGEN,TIGUAN,20900.0,PICHINCHA,2018,90000,TIPTRONIC,ELECTRONICA,2000,4x4,NEGRO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1853116
FORD,ESCAPE,27900.0,PICHINCHA,2022,34000,AUTOMATICA,ELECTRONICA,2000,4x2,AZUL,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1844855
MAZDA,CX-9,41900.0,PICHINCHA,2021,34000,TIPTRONIC,ELECTRONICA,2500,4x4,PLOMO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1844648
FORD,BRONCO SPORT WILDTRAK,48400.0,PICHINCHA,2022,19000,TIPTRONIC,ELECTRONICA,2000,4x4,ROJO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1843366
KIA,SPORTAGE R GTI,24900.0,PICHINCHA,2019,23000,TIPTRONIC,ELECTRONICA,2000,4x2,AZUL,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1836865
VOLVO,XC40 KINETIC,35900.0,PICHINCHA,2020,57000,TIPTRONIC,ELECTRONICA,2000,4x2,PLOMO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1825968
KIA,SPORTAGE GT,31900.0,PICHINCHA,2023,20000,TIPTRONIC,ELECTRONICA,2000,4x2,ROJO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1821705
CHEVROLET,ONIX LTZ TURBO,13900.0,CHIMBORAZO,2022,32000,MANUAL,ELECTRONICA,1000,4x2,PLOMO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1791153
HYUNDAI,SONATA HYBRID,14900.0,PICHINCHA,2015,72000,TIPTRONIC,ELECTRONICA,2400,4x2,BLANCO,HIBRIDO,https://www.autoconfianza.com.ec/vehiculo/1782342
CHEVROLET,CAPTIVA SPORT,12900.0,PICHINCHA,2015,69000,TIPTRONIC,HIDRAULICA,2400,4x2,PLOMO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1771508
KIA,SPORTAGE ACTIVE,14900.0,PICHINCHA,2015,86000,TIPTRONIC,HIDRAULICA,2000,4x2,ROJO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1767185
CHEVROLET,CAPTIVA,18900.0,PICHINCHA,2021,34000,MANUAL,ELECTRONICA,1500,4x2,BLANCO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1759135
JETOUR,X70 COUPE,21900.0,PICHINCHA,2022,25000,TIPTRONIC,ELECTRONICA,1600,4x2,NEGRO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1723274
RENAULT,SANDERO STEPWAY,15400.0,PICHINCHA,2023,22270,MANUAL,HIDRAULICA,1600,4x2,VINO,GASOLINA,https://www.cabrerautos.com/vehiculo/1882527
KIA,PICANTO EX,7200.0,PICHINCHA,2007,206500,MANUAL,HIDRAULICA,1200,4x2,ROJO,GASOLINA,https://www.cabrerautos.com/vehiculo/1828126
CITROEN,C3 SHINE,16400.0,AZUAY,2020,71551,MANUAL,HIDRAULICA,1600,4x2,NARANJA,DIESEL,https://www.cabrerautos.com/vehiculo/1880646
JAC,T6,17600.0,PICHINCHA,2019,60164,MANUAL,HIDRAULICA,1900,4x4,CAFE,DIESEL,https://www.cabrerautos.com/vehiculo/1811505
MERCEDES BENZ,SLK 350,26500.0,PICHINCHA,2000,128317,MANUAL,HIDRAULICA,2300,4x2,AZUL,GASOLINA,https://www.cabrerautos.com/vehiculo/1851698
JEEP,CHEROKEE,38800.0,PICHINCHA,2016,117642,AUTOMATICA,HIDRAULICA,3600,4x4,BLANCO,GASOLINA,https://www.cabrerautos.com/vehiculo/1877239
MAZDA,CX7,10200.0,PICHINCHA,2010,216699,AUTOMATICA,HIDRAULICA,2500,4x2,PLOMO,GASOLINA,https://www.cabrerautos.com/vehiculo/1762306
FORD,ESCAPE S,19800.0,PICHINCHA,2019,94109,AUTOMATICA,HIDRAULICA,2500,4x2,PLOMO,GASOLINA,https://www.cabrerautos.com/vehiculo/1846370
PEUGEOT,3008 ALLURE,29500.0,PICHINCHA,2023,38018,TIPTRONIC,HIDRAULICA,1600,4x2,PLOMO,GASOLINA,https://www.cabrerautos.com/vehiculo/1874224
KIA,PICANTO EX,12200.0,PICHINCHA,2020,79152,MANUAL,HIDRAULICA,1200,4x2,PLOMO,GASOLINA,https://www.cabrerautos.com/vehiculo/1847701
TOYOTA,FORTUNER,33500.0,PICHINCHA,2018,87447,AUTOMATICA,HIDRAULICA,2700,4x4,BLANCO,GASOLINA,https://www.cabrerautos.com/vehiculo/1854660
VOLKSWAGEN,JETTA EUROPA 2.0,11700.0,PICHINCHA,2011,83546,MANUAL,HIDRAULICA,2000,4x2,BLANCO,GASOLINA,https://www.cabrerautos.com/vehiculo/1879083
MERCEDES BENZ,SLK 200,26500.0,PICHINCHA,2000,128317,MANUAL,MECANICA,2300,4x2,AZUL,GASOLINA,https://www.cabrerautos.com/vehiculo/1847803
VOLKSWAGEN,BORA,9800.0,PICHINCHA,2008,133349,AUTOMATICA,HIDRAULICA,2500,4x2,BLANCO,GASOLINA,https://www.cabrerautos.com/vehiculo/1746407
BMW,X1,20500.0,PICHINCHA,2012,108695,MANUAL,HIDRAULICA,2000,4x2,NEGRO,GASOLINA,https://www.cabrerautos.com/vehiculo/1646895
JEEP,CHEROKEE LIMITED,38800.0,PICHINCHA,2016,117642,AUTOMATICA,HIDRAULICA,3600,4x4,BLANCO,GASOLINA,https://www.cabrerautos.com/vehiculo/1876016
AUDI,Q5,19500.0,PICHINCHA,2011,127260,AUTOMATICA,ELECTRONICA,2000,4x2,AZUL,GASOLINA,https://www.cabrerautos.com/vehiculo/1834127
FORD,SPORT TRACK,10400.0,PICHINCHA,2008,144098,AUTOMATICA,HIDRAULICA,4000,4x4,AZUL,GASOLINA,https://www.cabrerautos.com/vehiculo/1872591
CITROEN,C3,16400.0,AZUAY,2020,71551,MANUAL,HIDRAULICA,1600,4x2,NARANJA,DIESEL,https://www.cabrerautos.com/vehiculo/1877473
CHEVROLET,SUPER CARRY,5200.0,PICHINCHA,2005,480624,MANUAL,MECANICA,1200,4x2,BLANCO,GASOLINA,https://www.cabrerautos.com/vehiculo/1849261
NISSAN,PATROL GRX 4X4,17900.0,PICHINCHA,2006,309601,AUTOMATICA,HIDRAULICA,4800,4x4,PLOMO,GASOLINA,https://www.cabrerautos.com/vehiculo/1841455
CHEVROLET,SPARK LIFE,9100.0,PICHINCHA,2019,84363,MANUAL,HIDRAULICA,1000,4x2,PLOMO,GASOLINA,https://www.cabrerautos.com/vehiculo/1867794
MAZDA,CX5 GT,15200.0,PICHINCHA,2014,198141,AUTOMATICA,HIDRAULICA,2000,4x2,AZUL,GASOLINA,https://www.cabrerautos.com/vehiculo/1882178
KIA,SOLUTO,13700.0,PICHINCHA,2023,50181,MANUAL,HIDRAULICA,1400,4x2,NEGRO,GASOLINA,https://www.cabrerautos.com/vehiculo/1825644
TOYOTA,4RUNNER,38900.0,PICHINCHA,2013,197000,AUTOMATICA,HIDRAULICA,4000,4x4,BLANCO,GASOLINA,https://www.cabrerautos.com/vehiculo/1878086
MERCEDES BENZ,E350,24500.0,PICHINCHA,2006,114584,AUTOMATICA,HIDRAULICA,3500,4x2,AZUL,GASOLINA,https://www.cabrerautos.com/vehiculo/1858917
VOLKSWAGEN,BORA,9800.0,PICHINCHA,2008,133349,AUTOMATICA,HIDRAULICA,2500,4x2,BLANCO,GASOLINA,https://www.cabrerautos.com/vehiculo/1859492
RENAULT,SANDERO STEPWAY,10500.0,PICHINCHA,2012,107000,MANUAL,HIDRAULICA,1600,4x2,AZUL,GASOLINA,https://www.cabrerautos.com/vehiculo/1881636
KIA,PICANTO PRO,12200.0,PICHINCHA,2020,79152,MANUAL,HIDRAULICA,1200,4x2,PLOMO,GASOLINA,https://www.cabrerautos.com/vehiculo/1837025
SUZUKI,GRAND VITARA SZ,9300.0,AZUAY,2009,250605,AUTOMATICA,HIDRAULICA,2700,4x4,PLOMO,GASOLINA,https://www.cabrerautos.com/vehiculo/1856398
CHEVROLET,EQUINOX,19500.0,PICHINCHA,2018,69111,AUTOMATICA,HIDRAULICA,1500,4x2,PLOMO,GASOLINA,https://www.cabrerautos.com/vehiculo/1720502
SUZUKI,GRAND VITARA SZ,9500.0,AZUAY,2009,250605,AUTOMATICA,HIDRAULICA,2700,4x4,PLOMO,GASOLINA,https://www.cabrerautos.com/vehiculo/1856402
CHEVROLET,AVEO ACTIVO,6100.0,GUAYAS,2008,209041,MANUAL,HIDRAULICA,1400,4x2,ROJO,GASOLINA,https://www.cabrerautos.com/vehiculo/1753440
MERCEDES BENZ,SLK 230,26500.0,PICHINCHA,2000,128317,MANUAL,MECANICA,2300,4x2,AZUL,GASOLINA,https://www.cabrerautos.com/vehiculo/1807954
KIA,SOUL,12990.0,PICHINCHA,2016,69171,AUTOMATICA,HIDRAULICA,1600,4x2,BLANCO,ELECTRICO,https://www.cabrerautos.com/vehiculo/1817462
CHEVROLET,GRAND VITARA 5P 4X2,9200.0,PICHINCHA,2007,267886,MANUAL,HIDRAULICA,2000,4x2,BLANCO,GASOLINA,https://www.cabrerautos.com/vehiculo/1881234
FORD,TERRITORY,20600.0,PICHINCHA,2021,63000,TIPTRONIC,HIDRAULICA,1500,4x2,BLANCO,GASOLINA,https://www.cabrerautos.com/vehiculo/1881125
KIA,PICANTO R,12200.0,PICHINCHA,2020,79152,MANUAL,HIDRAULICA,1200,4x2,PLOMO,GASOLINA,https://www.cabrerautos.com/vehiculo/1847699
FORD,TERRITORY TREND,20600.0,PICHINCHA,2021,103010,TIPTRONIC,HIDRAULICA,1500,4x2,BLANCO,GASOLINA,https://www.cabrerautos.com/vehiculo/1881132
PORSCHE,CAYENNE S HYBRID,35900.0,PICHINCHA,2013,103010,TIPTRONIC,HIDRAULICA,3000,4x4,BLANCO,HIBRIDO,https://www.cabrerautos.com/vehiculo/1881118
PORSCHE,CAYENNE S E-HYBRID,35900.0,PICHINCHA,2013,103010,TIPTRONIC,HIDRAULICA,3000,4x4,BLANCO,HIBRIDO,https://www.cabrerautos.com/vehiculo/1881123
VOLKSWAGEN,AMAROK,22500.0,PICHINCHA,2015,142669,MANUAL,HIDRAULICA,2000,4x4,BLANCO,DIESEL,https://www.cabrerautos.com/vehiculo/1729292
TOYOTA,FORTUNER,24700.0,PICHINCHA,2013,239764,MANUAL,HIDRAULICA,4000,4x4,PLOMO,GASOLINA,https://www.cabrerautos.com/vehiculo/1880678
TOYOTA,FORTUNER,33500.0,PICHINCHA,2018,87447,AUTOMATICA,HIDRAULICA,2700,4x4,BLANCO,GASOLINA,https://www.cabrerautos.com/vehiculo/1862811
MERCEDES BENZ,GLC 250,48500.0,PICHINCHA,2018,68446,AUTOMATICA,HIDRAULICA,2500,4x4,NEGRO,GASOLINA,https://www.cabrerautos.com/vehiculo/1863515
CHEVROLET,GRAND VITARA SZ,9300.0,AZUAY,2009,250605,AUTOMATICA,HIDRAULICA,2700,4x4,PLOMO,GASOLINA,https://www.cabrerautos.com/vehiculo/1856430
CHEVROLET,TRAILBLAZER PREMIER,31900.0,IMBABURA,2017,114828,AUTOMATICA,HIDRAULICA,2800,4x4,BLANCO,DIESEL,https://www.cabrerautos.com/vehiculo/1853227
SHINERAY,X30,9100.0,PICHINCHA,2019,67803,MANUAL,HIDRAULICA,1500,4x2,BLANCO,GASOLINA,https://www.cabrerautos.com/vehiculo/1861140
SHINERAY,X30 CARGO,9100.0,PICHINCHA,2019,67803,MANUAL,HIDRAULICA,1500,4x2,BLANCO,GASOLINA,https://www.cabrerautos.com/vehiculo/1861136
FORD,SPORT TRACK,8800.0,PICHINCHA,2003,264723,AUTOMATICA,HIDRAULICA,4000,4x4,NEGRO,GASOLINA,https://www.cabrerautos.com/vehiculo/1854185
KIA,PICANTO LX,12200.0,PICHINCHA,2020,79152,MANUAL,HIDRAULICA,1200,4x2,PLOMO,GASOLINA,https://www.cabrerautos.com/vehiculo/1837020
KIA,NEW SPORTAGE GT LINE,28900.0,IMBABURA,2024,45788,SPEEDTRONIC,ELECTRONICA,2000,4x2,PLOMO,GASOLINA,https://www.cabrerautos.com/vehiculo/1870948
TOYOTA,RUSH,18900.0,PICHINCHA,2020,115375,MANUAL,HIDRAULICA,1500,4x2,CAFE,GASOLINA,https://www.cabrerautos.com/vehiculo/1877534
JEEP,COMPASS SPORT,13800.0,PICHINCHA,2014,87747,MANUAL,HIDRAULICA,2000,4x2,PLOMO,GASOLINA,https://www.cabrerautos.com/vehiculo/1854355
JEEP,COMPASS,13800.0,PICHINCHA,2014,87747,MANUAL,HIDRAULICA,2000,4x2,PLOMO,GASOLINA,https://www.cabrerautos.com/vehiculo/1854357
FORD,F150,41000.0,PICHINCHA,2016,111074,AUTOMATICA,ELECTRONICA,3500,4x4,NEGRO,GASOLINA,https://www.cabrerautos.com/vehiculo/1878974
HONDA,ODISSEY,12800.0,PICHINCHA,2007,170000,AUTOMATICA,HIDRAULICA,3500,4x2,PLOMO,GASOLINA,https://www.cabrerautos.com/vehiculo/1873254
PEUGEOT,3008,29500.0,PICHINCHA,2023,38018,TIPTRONIC,HIDRAULICA,1600,4x2,PLOMO,GASOLINA,https://www.cabrerautos.com/vehiculo/1873760
PEUGEOT,3008 ALLURE,21600.0,PICHINCHA,2018,70086,AUTOMATICA,HIDRAULICA,1600,4x2,CAFE,GASOLINA,https://www.cabrerautos.com/vehiculo/1861473
PEUGEOT,3008,21600.0,PICHINCHA,2018,70086,AUTOMATICA,HIDRAULICA,1600,4x2,CAFE,GASOLINA,https://www.cabrerautos.com/vehiculo/1861472
MERCEDES BENZ,C200 K,42500.0,PICHINCHA,2020,49117,AUTOMATICA,HIDRAULICA,2000,4x2,BLANCO,GASOLINA,https://www.cabrerautos.com/vehiculo/1879335
MERCEDES BENZ,GLC 250 COUPE,48500.0,PICHINCHA,2018,68446,AUTOMATICA,HIDRAULICA,2500,4x4,NEGRO,GASOLINA,https://www.cabrerautos.com/vehiculo/1863517
VOLKSWAGEN,JETTA,11700.0,PICHINCHA,2011,83564,MANUAL,HIDRAULICA,2000,4x2,BLANCO,GASOLINA,https://www.cabrerautos.com/vehiculo/1879086
CHEVROLET,TRAILBLAZER DSL LTZ,31900.0,IMBABURA,2017,114828,AUTOMATICA,HIDRAULICA,2800,4x4,BLANCO,DIESEL,https://www.cabrerautos.com/vehiculo/1853224
CHEVROLET,TRAILBLAZER,31900.0,IMBABURA,2017,114828,AUTOMATICA,HIDRAULICA,2800,4x4,BLANCO,DIESEL,https://www.cabrerautos.com/vehiculo/1853226
CHEVROLET,CAPTIVA SPORT,10200.0,PICHINCHA,2011,134000,AUTOMATICA,HIDRAULICA,3000,4x2,PLOMO,GASOLINA,https://www.cabrerautos.com/vehiculo/1763507
MERCEDES BENZ,C250 SPORT,43900.0,PICHINCHA,2018,48171,AUTOMATICA,ELECTRONICA,2000,4x2,PLOMO,GASOLINA,https://www.cabrerautos.com/vehiculo/1881413
NISSAN,PATROL,17900.0,PICHINCHA,2006,309601,AUTOMATICA,HIDRAULICA,2006,4x4,PLOMO,GASOLINA,https://www.cabrerautos.com/vehiculo/1841456
MERCEDES BENZ,C250,43900.0,PICHINCHA,2018,48171,AUTOMATICA,ELECTRONICA,2000,4x2,PLOMO,GASOLINA,https://www.cabrerautos.com/vehiculo/1881410
KIA,PICANTO LX,7200.0,PICHINCHA,2007,206500,MANUAL,HIDRAULICA,1200,4x2,ROJO,GASOLINA,https://www.cabrerautos.com/vehiculo/1828376
SUZUKI,GRAND VITARA SZ NEXT,9300.0,AZUAY,2009,250605,AUTOMATICA,HIDRAULICA,2400,4x4,PLOMO,GASOLINA,https://www.cabrerautos.com/vehiculo/1856404
CHEVROLET,CAPTIVA,10200.0,TUNGURAHUA,2011,133766,AUTOMATICA,HIDRAULICA,3000,4x2,PLOMO,GASOLINA,https://www.cabrerautos.com/vehiculo/1763515
FORD,ESCAPE,19800.0,PICHINCHA,2019,94109,AUTOMATICA,HIDRAULICA,2500,4x2,PLOMO,GASOLINA,https://www.cabrerautos.com/vehiculo/1846367
CHEVROLET,SPARK,9100.0,PICHINCHA,2019,84363,MANUAL,HIDRAULICA,1000,4x2,PLOMO,GASOLINA,https://www.cabrerautos.com/vehiculo/1867792
TOYOTA,PRIUS C SPORT ,13800.0,PICHINCHA,2015,179740,AUTOMATICA,ELECTRONICA,1500,4x2,ROJO,GASOLINA,https://1001carros.com/seminuevo/quito/prius-c-sport-ac-1.5-5p-4x2-ta-hybrid/CF-970
TOYOTA,RAV4 CVT,26877.0,PICHINCHA,2019,153360,AUTOMATICA,HIDRAULICA,2000,4x2,BLANCO,GASOLINA,https://1001carros.com/seminuevo/guayaquil/rav4-cvt-ac-2.0-5p-4x2-ta/F-1805
OPEL,GRANDLAND GS,24400.0,GUAYAS,2024,11724,AUTOMATICA,ELECTRONICA,1600,4x2,AZUL,GASOLINA,https://1001carros.com/seminuevo/quito/grandland-gs-ac-1.6-5p-4x2-ta/F-186
TOYOTA,COROLLA CROSS HIGH,30900.0,PICHINCHA,2023,27373,AUTOMATICA,ELECTRONICA,1800,4x2,AZUL,HIBRIDO,https://1001carros.com/seminuevo/guayaquil/corolla-cross-high-ac-1.8-5p-4x2-ta-hybrid/F-2015
CHEVROLET,D-MAX CRDI,21600.0,GUAYAS,2022,142908,MANUAL,ASISTIDA,2500,4x2,PLOMO,DIESEL,https://1001carros.com/seminuevo/quito/d-max-crdi-2.5-cs-4x2-tm-diesel/F-202
CHEVROLET,CAPTIVA LTZ TURBO,22749.0,PICHINCHA,2023,10224,AUTOMATICA,HIDRAULICA,1500,4x2,PLOMO,GASOLINA,https://1001carros.com/seminuevo/guayaquil/captiva-ltz-turbo-5pas-ac-1.5-5p/F-2025
TOYOTA,RUSH,22075.0,PICHINCHA,2022,87818,MANUAL,HIDRAULICA,1500,4x2,PLOMO,GASOLINA,https://1001carros.com/seminuevo/quito/rush-ac-1.5-5p-4x2-tm/F-2032
BMW,X5,39900.0,PICHINCHA,2015,114349,AUTOMATICA,HIDRAULICA,3000,4x4,PLOMO,GASOLINA,https://1001carros.com/seminuevo/quito/x5-3l-suv-4x4-steptronic-231hp/F-2040
TOYOTA,NEW FORTUNER,46300.0,PICHINCHA,2019,87444,AUTOMATICA,HIDRAULICA,4000,4x4,CREMA,GASOLINA,https://1001carros.com/seminuevo/quito/new-fortuner-ac-4.0-5p-4x4-ta/F-2052
CHEVROLET,D-MAX CRDI FULL,31800.0,PICHINCHA,2022,110706,MANUAL,HIDRAULICA,2500,4x4,BLANCO,DIESEL,https://1001carros.com/seminuevo/quito/d-max-crdi-full-ac-2.5-cd-4x4-tm-diesel/F-2059
